PROJECT,StartDate,EndDate,Duration__in_seconds_,RecordedDate,UserLanguage,DEMOGR_1,DEMOGR_2,DEMOGR_3,DEMOGR_4,WK_1,WK_2,WK_3,WK_4,EM_P1,EM_P2,EM_P3,EM_P4,EM_I1,EM_I2,EM_I3,EM_I4,GENERAL_1,GENERAL_2,GENERAL_3,GENERAL_4,GENERAL_1_kind,GENERAL_2_kind,GENERAL_3_kind,GENERAL_4_kind
1,5/6/2022 13:07:29,5/6/2022 13:21:11,821,5/6/2022 13:21:11,NL,13,1, , ,3,4,2,4,9,9,10,10,8,8,7,10,4,4,4,4, , , , 
1,5/6/2022 11:28:39,5/6/2022 13:21:17,6757,5/6/2022 13:21:17,NL,9,1, , ,5,4,4,4,10,9,7,9,8,7,7,9,3,4,3,4, , , , 
1,5/6/2022 13:10:03,5/6/2022 13:21:59,716,5/6/2022 13:22:07,NL,10,2, , ,1,1,4,2,5,7,4,6,6,8,9,6,3,3,2,3, , , , 
1,5/6/2022 13:11:04,5/6/2022 13:22:12,667,5/6/2022 13:22:12,NL,7,1, , ,3,4,4,5,10,10,10,10,10,10,10,10,4,5,3,5, , , , 
1,5/6/2022 13:10:56,5/6/2022 13:22:47,711,5/6/2022 13:22:47,NL,6,1, , ,3,4,4,5,9,8,10,10,10,10,9,10,3,5,4,3, , , , 
1,5/6/2022 13:08:28,5/6/2022 13:25:13,1005,5/6/2022 13:25:13,NL,10,2, , ,5,5,4,5,10,10,10,10,10,10,10,10,4,5,2,5, , , , 
1,5/6/2022 11:31:24,5/6/2022 13:30:11,7127,5/6/2022 13:30:13,NL,9,1, , ,5,5,5,5,10,6,6,10,6,9,10,8,5,5,1,5, , , , 
1,5/6/2022 13:21:35,5/6/2022 13:32:02,627,5/6/2022 13:32:04,NL,11,1, , ,3,4,4,4,8,9,10,10,9,10,10,10,5,5,5,5, , , , 
1,5/6/2022 13:25:54,5/6/2022 13:35:21,566,5/6/2022 13:35:21,NL,9,1, , ,4,5,5,4,7,7,6,7,8,8,7,7,5,5,4,4, , , , 
1,5/6/2022 13:24:09,5/6/2022 13:45:43,1294,5/6/2022 13:45:43,NL,11,1, , ,3,4,3,4,8,7,8,9,8,8,9,9,4,3,3,3, , , , 
1,5/6/2022 13:35:27,5/6/2022 13:46:48,680,5/6/2022 13:46:48,NL,10,1, , ,3,4,5,5,10,8,10,10,8,10,10,10,4,5,3,4, , , , 
1,5/6/2022 13:41:22,5/6/2022 13:50:19,537,5/6/2022 13:50:21,NL,11,2, , ,3,4,5,5,8,7,10,10,10,10,10,9,4,3,4,4, , , , 
1,5/6/2022 13:22:04,5/6/2022 13:51:44,1779,5/6/2022 13:51:44,NL,8,1, , ,4,4,4,3,8,9,5,10,6,8,4,8,4,4,5,4, , , , 
1,5/6/2022 13:43:07,5/6/2022 13:56:07,780,5/6/2022 13:56:09,NL,5,1, , ,5,4,5,4,10,10,10,10,6,10,1,10,3,4,3,1, , , , 
1,5/6/2022 13:56:24,5/6/2022 14:05:43,559,5/6/2022 14:05:45,NL,13,2, , ,3,4,4,3,6,7,7,8,6,6,6,6,4,3,2,3, , , , 
1,5/6/2022 13:58:35,5/6/2022 14:07:47,551,5/6/2022 14:07:48,NL,10,2, , ,2,4,2,1,6,6,6,7,7,6,7,7,4,3,4,3, , , , 
1,5/6/2022 13:47:15,5/6/2022 14:08:27,1272,5/6/2022 14:08:28,NL,6,2, , ,5,5,5,3,9,8,9,10,10,10,10,10,5,5,5,4, , , , 
1,5/6/2022 13:51:42,5/6/2022 14:08:58,1035,5/6/2022 14:08:58,NL,10,2, , ,3,5,4,3,10,7,9,10,7,8,9,10,4,5,3,5, , , , 
1,5/6/2022 13:52:43,5/6/2022 14:10:03,1039,5/6/2022 14:10:04,NL, ,1, , ,3,5,4,2,10,5,10,10,10,10,10,10,4,5,3,4, , , , 
1,5/6/2022 13:45:55,5/6/2022 14:12:49,1613,5/6/2022 14:12:49,NL,7,1, , ,4,4,2,2,10,10,10,10,10,7,6,10,2,5,4,4, , , , 
1,5/6/2022 14:06:11,5/6/2022 14:18:56,765,5/6/2022 14:18:58,NL,11,1, , ,5,5,4,3,8,9,8,10,8,9,6,9,5,5,4,5, , , , 
1,5/6/2022 14:09:01,5/6/2022 14:20:12,670,5/6/2022 14:20:12,NL,10,2, , ,5,5,1,4,10,8,10,10,10,10,10,10,4,5,5,3, , , , 
1,5/6/2022 14:10:05,5/6/2022 14:21:15,669,5/6/2022 14:21:17,NL,10,2, , ,5,5,4,4,10,8,9,10,8,9,8,10,5,5,2,5, , , , 
1,5/6/2022 14:19:26,5/6/2022 14:28:56,570,5/6/2022 14:28:57,NL,8,2, , ,4,5,1,3,10,10,10,10,10,10,10,10,5,5,5,5, , , , 
1,5/6/2022 14:20:16,5/6/2022 14:32:39,742,5/6/2022 14:32:40,NL,9,2, , ,4,4,4,1,9,10,9,10,10,9,7,10,4,4,3,5, , , , 
1,5/6/2022 14:07:51,5/6/2022 14:34:23,1591,5/6/2022 14:34:24,NL,8,2, , ,4,3,4,3,10,10,10,10,10,10,10,10,4,5,4,4, , , , 
1,5/6/2022 14:21:19,5/6/2022 14:35:05,826,5/6/2022 14:35:06,NL,7,1, , ,3,4,5,1,8,9,9,10,7,9,6,7,4,5,4,4, , , , 
1,5/6/2022 14:08:47,5/6/2022 14:38:02,1755,5/6/2022 14:38:03,NL,9,1, , ,4,5,5,5,9,9,10,10,9,10,5,9,5,5,3,5, , , , 
1,5/6/2022 14:33:22,5/6/2022 14:39:19,357,5/6/2022 14:39:21,NL,12,1, , ,5,5,5,5,9,9,9,10,10,9,10,10,4,4,2,5, , , , 
1,5/6/2022 14:34:24,5/6/2022 14:42:41,496,5/6/2022 14:42:41,NL,9,2, , ,3,4,5,5,10,10,10,10,10,10,10,10,5,5,4,4, , , , 
1,5/6/2022 14:38:22,5/6/2022 14:45:09,407,5/6/2022 14:45:10,NL,11,1, , ,4,4,4,3,8,8,9,10,10,10,10,8,4,4,4,4, , , , 
1,5/6/2022 14:35:17,5/6/2022 14:47:01,703,5/6/2022 14:47:01,NL,7,1, , ,3,5,4,1,8,6,10,10,6,9,10,9,4,3,4,5, , , , 
1,5/6/2022 14:39:24,5/6/2022 14:52:47,802,5/6/2022 14:52:49,NL,11,2, , ,4,4,4,2,9,8,6,10,8,9,9,8,3,4,3,4, , , , 
1,5/6/2022 14:42:43,5/6/2022 15:08:47,1564,5/6/2022 15:08:49,NL,6,2, , ,3,5,5,4,10,6,10,10,10,10,10,10,4,5,5,5, , , , 
1,5/6/2022 14:46:04,5/6/2022 15:18:35,1951,5/6/2022 15:18:37,NL,10,1, , ,4,5,4,5,10,10,10,10,8,10,10,10,5,5,2,5, , , , 
1,5/6/2022 15:09:02,5/6/2022 15:19:29,627,5/6/2022 15:19:31,NL,7,2, , ,3,4,4,2,10,6,6,8,8,7,6,9,4,4,2,4, , , , 
1,5/6/2022 14:12:55,5/6/2022 15:26:16,4401,5/6/2022 15:26:16,NL,9,2, , ,3,4,4,2,9,6,9,10,10,8,4,7,4,4,4,3, , , , 
1,5/6/2022 15:19:37,5/6/2022 15:26:52,435,5/6/2022 15:26:52,NL,6,2, , ,2,4,4,2,10,10,10,10,10,10,10,10,4,4,2,2, , , , 
1,5/6/2022 15:25:47,5/6/2022 15:32:38,411,5/6/2022 15:32:39,NL,6,2, , ,4,4,4,3,10,10,10,10,10,10,10,10,4,4,4,5, , , , 
1,5/6/2022 15:26:19,5/6/2022 15:33:14,415,5/6/2022 15:33:14,NL,9,1, , ,3,5,5,4,8,7,9,10,9,9,7,10,5,5,1,5, , , , 
1,5/6/2022 14:47:05,5/6/2022 15:40:53,3228,5/6/2022 15:40:55,NL,7,2, , ,3,4,4,4,10,10,10,10,10,8,10,10,4,4,3,2, , , , 
1,5/6/2022 15:33:42,5/6/2022 15:41:12,450,5/6/2022 15:41:14,NL,11,2, , ,5,5,4,2,7,7,8,8,6,6,3,9,4,4,3,4, , , , 
1,5/6/2022 15:34:10,5/6/2022 15:42:50,520,5/6/2022 15:42:51,NL,10,1, , ,3,4,4,3,8,7,8,7,7,7,7,7,4,3,4,3, , , , 
1,5/6/2022 15:33:13,5/6/2022 15:45:07,713,5/6/2022 15:45:07,NL,9,1, , ,3,5,4,5,10,6,8,10,7,10,10,10,5,5,3,5, , , , 
1,5/6/2022 15:41:28,5/6/2022 15:48:09,400,5/6/2022 15:48:10,NL,7,2, , ,3,5,4,2,10,10,10,10,10,10,6,10,5,5,1,5, , , , 
1,5/6/2022 15:42:52,5/6/2022 15:53:01,609,5/6/2022 15:53:02,NL,10,2, , ,5,5,5,3,10,10,10,10,8,10,9,10,5,5,3,5, , , , 
1,5/6/2022 15:48:20,5/6/2022 15:54:38,377,5/6/2022 15:54:38,NL,10,2, , ,3,4,2,5,9,8,10,10,7,9,9,9,4,4,4,4, , , , 
1,5/6/2022 15:41:42,5/6/2022 15:54:45,783,5/6/2022 15:54:47,NL,8,1, , ,3,4,4,5,7,6,9,10,10,10,8,8,4,5,3,5, , , , 
1,5/6/2022 15:45:09,5/6/2022 15:55:13,603,5/6/2022 15:55:13,NL,11,1, , ,5,5,4,5,8,9,8,9,6,9,8,10,5,4,3,5, , , , 
1,5/3/2022 10:21:30,5/6/2022 16:02:20,279649,5/6/2022 16:02:20,NL,9,1, , ,3,5,4,5,10,10,10,10,10,10,10,10,5,5,5,4, , , , 
1,5/6/2022 15:38:59,5/6/2022 16:02:47,1427,5/6/2022 16:02:48,NL,8,2, , ,3,5,2,1,10,9,10,10,10,10,10,10,5,4,5,5, , , , 
1,5/6/2022 15:53:28,5/6/2022 16:04:06,638,5/6/2022 16:04:07,NL,6,1, , ,3,5,4,5,10,9,10,10,10,10,10,5,4,5,5,2, , , , 
1,5/6/2022 14:30:38,5/6/2022 16:08:05,5847,5/6/2022 16:08:06,NL,9,1, , ,3,4,4,4,10,8,7,10,6,10,8,7,4,5,5,4, , , , 
1,5/6/2022 16:02:50,5/6/2022 16:10:26,456,5/6/2022 16:10:27,NL,6,1, , ,5,4,5,2,10,10,10,10,10,10,10,10,5,3,5,5, , , , 
1,5/6/2022 15:56:35,5/6/2022 16:12:14,939,5/6/2022 16:12:14,NL,13,1, , ,3,4,4,3,8,6,6,9,7,10,8,10,5,4,1,3, , , , 
1,5/6/2022 16:09:32,5/6/2022 16:15:12,339,5/6/2022 16:15:12,NL,11,1, , ,3,4,2,1,6,8,7,7,10,9,10,10,5,3,4,3, , , , 
1,5/6/2022 16:08:55,5/6/2022 16:17:25,509,5/6/2022 16:17:25,NL,12,1, , ,4,3,3,3,7,5,9,7,7,10,10,8,5,4,5,3, , , , 
1,5/6/2022 16:11:45,5/6/2022 16:17:50,365,5/6/2022 16:17:52,NL,9,1, , ,4,4,2,2,7,6,6,10,6,10,7,10,3,3,4,3, , , , 
1,5/6/2022 16:12:15,5/6/2022 16:18:44,388,5/6/2022 16:18:46,NL,10,1, , ,5,5,4,4,10,10,10,10,10,10,9,10,5,5,4,4, , , , 
1,5/6/2022 16:04:15,5/6/2022 16:22:03,1068,5/6/2022 16:22:04,NL,10,1, , ,3,4,3,4,8,8,8,8,8,8,8,8,4,4,2,4, , , , 
1,5/6/2022 16:18:53,5/6/2022 16:25:27,394,5/6/2022 16:25:29,NL,10,2, , ,3,4,4,4,10,8,10,10,8,9,9,8,4,3,4,3, , , , 
1,5/6/2022 16:17:36,5/6/2022 16:26:01,505,5/6/2022 16:26:01,NL,12,2, , ,4,5,4,3,10,8,9,9,9,10,10,10,4,5,2,5, , , , 
1,5/6/2022 16:20:02,5/6/2022 16:26:57,414,5/6/2022 16:26:57,NL,9,1, , ,5,5,5,5,10,10,10,10,10,10,10,10,5,4,4,4, , , , 
1,5/6/2022 16:27:21,5/6/2022 16:33:10,348,5/6/2022 16:33:12,NL,8,1, , ,5,4,2,4,10,6,10,10,7,8,10,9,5,3,4,5, , , , 
1,5/6/2022 16:27:40,5/6/2022 16:37:15,575,5/6/2022 16:37:16,NL,9,1, , ,4,4,3,4,8,8,8,10,7,8,5,10,4,3,3,4, , , , 
1,5/6/2022 16:37:17,5/6/2022 16:43:33,376,5/6/2022 16:43:34,NL,10,2, , ,4,4,4,4,9,9,7,10,10,10,1,10,4,3,4,4, , , , 
1,5/6/2022 16:38:11,5/6/2022 16:44:07,356,5/6/2022 16:44:07,NL,12,2, , ,3,4,2,1,9,10,10,10,10,10,10,10,4,5,2,5, , , , 
1,5/6/2022 16:20:13,5/6/2022 16:45:40,1526,5/6/2022 16:45:41,NL,10,2, , ,3,4,5,5,5,4,6,6,4,5,8,5,4,4,4,5, , , , 
1,5/6/2022 16:38:35,5/6/2022 16:46:56,501,5/6/2022 16:46:57,NL,10,2, , ,4,4,2,2,7,9,8,9,8,8,8,9,4,4,2,4, , , , 
1,5/6/2022 16:22:06,5/6/2022 16:47:59,1552,5/6/2022 16:47:59,NL,8,1, , ,4,5,4,1,7,6,6,8,8,9,8,8,3,5,2,4, , , , 
1,5/6/2022 16:47:58,5/6/2022 16:54:48,410,5/6/2022 16:54:48,NL,6,2, , ,3,5,4,2,10,9,8,9,8,10,10,10,4,5,1,1, , , , 
1,5/6/2022 16:26:03,5/6/2022 16:55:35,1772,5/6/2022 16:55:36,NL,9,2, , ,3,4,4,3,9,8,9,10,9,6,8,8,4,5,4,4, , , , 
1,5/6/2022 16:48:10,5/6/2022 16:59:46,695,5/6/2022 16:59:47,NL,10,2, , ,3,4,5,3,10,7,10,10,10,10,7,10,4,3,4,4, , , , 
1,5/6/2022 16:50:18,5/6/2022 16:59:51,573,5/6/2022 16:59:52,NL,8,2, , ,3,5,4,5,10,5,5,10,7,3,10,10,4,5,2,4, , , , 
1,5/6/2022 16:50:30,5/6/2022 16:59:52,562,5/6/2022 16:59:53,NL,7,1, , ,3,4,3,3,10,10,10,10,10,10,10,10,4,3,3,2, , , , 
1,5/6/2022 16:10:30,5/6/2022 17:06:32,3362,5/6/2022 17:06:33,NL,7,2, , ,3,5,4,4,10,7,6,9,6,7,7,10,4,5,2,4, , , , 
1,5/6/2022 16:55:48,5/6/2022 17:06:57,668,5/6/2022 17:06:57,NL,8,2, , ,3,4,4,1,10,10,10,10,10,10,1,10,4,3,4,3, , , , 
1,5/6/2022 17:08:03,5/6/2022 17:12:17,254,5/6/2022 17:12:19,NL,12,2, , ,3,2,3,5,8,4,5,8,4,6,5,6,3,2,2,2, , , , 
1,5/6/2022 17:06:34,5/6/2022 17:16:27,593,5/6/2022 17:16:29,NL,8,2, , ,3,4,4,5,9,6,9,10,9,9,9,9,4,2,2,3, , , , 
1,5/6/2022 16:55:38,5/6/2022 17:18:07,1348,5/6/2022 17:18:07,NL,12,2, , ,3,4,5,3,9,9,10,10,9,10,10,10,5,4,4,4, , , , 
1,5/6/2022 16:59:48,5/6/2022 17:18:10,1102,5/6/2022 17:18:10,NL,7,2, , ,3,4,2,1,9,6,6,8,6,8,7,10,4,4,4,5, , , , 
1,5/6/2022 17:01:18,5/6/2022 17:18:16,1017,5/6/2022 17:18:17,NL,10,2, , ,3,5,4,1,10,10,9,9,9,9,9,10,4,5,4,4, , , , 
1,5/6/2022 17:06:59,5/6/2022 17:23:54,1015,5/6/2022 17:23:55,NL,8,2, , ,3,5,1,1,10,10,10,10,10,10,10,10,5,5,5,5, , , , 
1,5/6/2022 17:16:56,5/6/2022 17:34:14,1037,5/6/2022 17:34:15,NL,13,1, , ,4,4,5,5,9,8,7,10,10,10,7,8,5,5,3,4, , , , 
1,5/6/2022 17:18:31,5/6/2022 17:34:41,970,5/6/2022 17:34:41,NL,11,2, , ,3,2,5,5,7,6,7,9,6,8,9,10,5,3,4,2, , , , 
1,5/6/2022 17:23:56,5/6/2022 17:35:51,714,5/6/2022 17:35:52,NL,7,1, , ,3,4,4,5,10,10,7,10,10,10,10,10,5,3,5,5, , , , 
1,5/6/2022 17:19:59,5/6/2022 17:37:14,1035,5/6/2022 17:37:16,NL,8,2, , ,3,5,4,3,10,10,10,10,10,10,10,10,5,5,3,5, , , , 
1,5/6/2022 17:36:00,5/6/2022 17:42:23,382,5/6/2022 17:42:23,NL,9,1, , ,4,5,4,5,7,9,10,10,7,10,10,10,4,5,4,5, , , , 
1,5/6/2022 17:35:53,5/6/2022 17:43:13,439,5/6/2022 17:43:13,NL,6,1, , ,3,5,4,2,9,8,7,9,7,8,9,8,2,4,4,4, , , , 
1,5/6/2022 17:39:56,5/6/2022 17:48:09,492,5/6/2022 17:48:10,NL,7,1, , ,3,4,2,2,10,10,10,10,6,10,9,7,3,4,4,4, , , , 
1,5/6/2022 17:42:28,5/6/2022 17:49:12,404,5/6/2022 17:49:13,NL,8,1, , ,3,5,4,4,10,8,10,10,10,6,1,10,5,5,5,5, , , , 
1,5/6/2022 17:44:28,5/6/2022 17:50:00,332,5/6/2022 17:50:01,NL,12,2, , ,3,4,5,2,8,7,9,9,7,8,3,8,4,4,3,3, , , , 
1,5/6/2022 17:48:15,5/6/2022 17:52:58,282,5/6/2022 17:52:59,NL,6,1, , ,3,5,2,4,10,10,10,10,10,10,10,10,4,5,1,5, , , , 
1,5/6/2022 17:35:42,5/6/2022 17:55:27,1184,5/6/2022 17:55:28,NL,10,1, , ,3,3,4,3,6,5,5,6,6,7,7,7,4,3,3,1, , , , 
1,5/6/2022 17:55:28,5/6/2022 18:00:19,290,5/6/2022 18:00:19,NL,10,2, , ,3,5,5,4,8,8,8,9,9,10,8,10,4,5,4,4, , , , 
1,5/6/2022 17:49:15,5/6/2022 18:02:01,765,5/6/2022 18:02:02,NL,12,2, , ,3,5,4,3,8,6,6,10,5,6,6,10,4,4,4,4, , , , 
1,5/6/2022 17:59:35,5/6/2022 18:06:12,396,5/6/2022 18:06:12,NL,8,1, , ,3,4,4,3,10,10,10,10,10,10,10,10,4,4,5,5, , , , 
1,5/6/2022 17:50:06,5/6/2022 18:11:46,1299,5/6/2022 18:11:47,NL,6,2, , ,3,5,2,1,10,10,10,10,10,1,1,10,5,2,5,2, , , , 
1,5/6/2022 17:54:09,5/6/2022 18:11:50,1060,5/6/2022 18:11:50,NL,11,2, , ,3,4,4,3,10,8,7,10,10,10,10,10,4,4,4,3, , , , 
1,5/3/2022 10:18:26,5/6/2022 18:14:09,287743,5/6/2022 18:14:10,NL,8,1, , ,3,5,4,5,8,8,7,9,6,9,8,9,4,5,4,3, , , , 
1,5/6/2022 18:06:21,5/6/2022 18:15:48,566,5/6/2022 18:15:50,NL,7,2, , ,3,5,4,4,10,10,10,9,10,10,9,10,5,4,4,5, , , , 
1,5/6/2022 18:02:12,5/6/2022 18:17:41,929,5/6/2022 18:17:43,NL, ,2, , ,3,5,4,3,8,7,9,10,9,10,9,10,5,5,4,5, , , , 
1,5/6/2022 18:15:51,5/6/2022 18:21:13,321,5/6/2022 18:21:13,NL,11,2, , ,4,4,4,4,8,8,8,9,7,8,8,8,4,4,4,4, , , , 
1,5/6/2022 18:17:43,5/6/2022 18:22:31,287,5/6/2022 18:22:32,NL,11,2, , ,5,5,4,4,10,10,10,10,10,10,10,10,5,5,5,5, , , , 
1,5/6/2022 18:21:18,5/6/2022 18:30:34,556,5/6/2022 18:30:36,NL,9,1, , ,3,4,4,5,9,8,10,10,10,7,7,10,5,4,4,5, , , , 
2, , , , ,EN, , , , , , , , ,8,8,8,7,7,8,8,8,5,4,5,4, , , , 
2, , , , ,EN, , , , , , , , ,8,9,7,9,8,8,3,9,4,4,2,3, , , , 
2, , , , ,EN, , , , , , , , ,8,6,6,7,6,6,6,6,4,3,4,3, , , , 
2, , , , ,EN, , , , , , , , ,9,9,9,10,8,8,3,8,5,4,4,4, , , , 
2, , , , ,EN, , , , , , , , ,9,8,7,10,8,7,7,10,4,5,3,4, , , , 
2, , , , ,EN, , , , , , , , ,8,7,7,7,3,3,5,8,4,3,4,3, , , , 
2, , , , ,EN, , , , , , , , ,5,2,7,6,7,6,7,8,5,2,4,3, , , , 
2, , , , ,EN, , , , , , , , ,8,4,7,5,6,4,5,7,4,3,3,3, , , , 
2, , , , ,EN, , , , , , , , ,7,7,7,7,5,6,5,7,4,4,4,3, , , , 
2, , , , ,EN, , , , , , , , ,8,9,9,7,8,8,7,10,5,5,3,4, , , , 
2, , , , ,EN, , , , , , , , ,8,7,8,7,7,7,6,7,4,4,4,3, , , , 
2, , , , ,EN, , , , , , , , ,7,8,7,8,7,6,6,8,4,3,4,2, , , , 
2, , , , ,EN, , , , , , , , ,8,9,9,9,8,7,6,9,4,4,4,5, , , , 
2, , , , ,EN, , , , , , , , ,9,10,9,10,10,10,7,10,5,5,4,5, , , , 
2, , , , ,EN, , , , , , , , ,9,8,8,10,9,9,8,10,5,4,4,5, , , , 
2, , , , ,EN, , , , , , , , ,8,8,7,8,8,7,4,10,4,5,3,5, , , , 
2, , , , ,EN, , , , , , , , ,8,8,6,8,8,6,1,8,5,4,2,4, , , , 
2, , , , ,EN, , , , , , , , ,8,8,7,10,8,9,3,10,5,4,5,3, , , , 
2, , , , ,EN, , , , , , , , ,8,8,6,7,9,10,8,8,4,4,4,5, , , , 
2, , , , ,EN, , , , , , , , ,8,8,9,8,7,8,8,9,4,4,5,4, , , , 
2, , , , ,EN, , , , , , , , ,6,9,8,7,6,6,6,6,4,3,4,3, , , , 
2, , , , ,EN, , , , , , , , ,9,10,8,9,9,8,8,10,5,4,5,4, , , , 
2, , , , ,EN, , , , , , , , ,8,8,8,9,9,8,9,9,5,4,4,5, , , , 
2, , , , ,EN, , , , , , , , ,9,7,7,9,9,7,7,10,4,5,3,5, , , , 
2, , , , ,EN, , , , , , , , ,9,9,9,10,8,7,8,9,5,5,2,5, , , , 
2, , , , ,EN, , , , , , , , ,8,6,7,9,7,7,7,7,5,3,3,5, , , , 
2, , , , ,EN, , , , , , , , ,10,5,7,10,10,10,10,10,5,5,5,5, , , , 
2, , , , ,EN, , , , , , , , ,8,9,7,8,9,8,8,9,5,4,4,3, , , , 
2, , , , ,EN, , , , , , , , ,8,8,6,9,9,9,8,8,5,4,4,4, , , , 
2, , , , ,EN, , , , , , , , ,10,10,10,10,8,8,8,8,4,4,4,4, , , , 
2, , , , ,EN, , , , , , , , ,10,10,10,10,9,10,9,10,4,4,4,4, , , , 
2, , , , ,EN, , , , , , , , ,10,9,10,10,9,10,10,10,5,4,4,5, , , , 
2, , , , ,EN, , , , , , , , ,9,4,5,8,10,9,6,10,5,5,5,5, , , , 
2, , , , ,EN, , , , , , , , ,8,8,8,8,9,7,9,10,4,5,4,5, , , , 
2, , , , ,EN, , , , , , , , ,9,7,8,5,9,9,8,9,4,4,4,3, , , , 
2, , , , ,EN, , , , , , , , ,9,8,6,8,5,3,3,7,4,3,4,4, , , , 
2, , , , ,EN, , , , , , , , ,10,10,10,10,10,10,10,10,5,4,5,5, , , , 
2, , , , ,EN, , , , , , , , ,9,9,9,9,9,9,9,9,5,4,5,4, , , , 
2, , , , ,EN, , , , , , , , ,10,10,9,9,9,10,10,10,5,4,4,4, , , , 
